YEAR,MONTH,AGE,SEX,RACE,EDUC,EMPSTAT,WTFINL,MARST,METRO,DIFFANY
2023,3,54,1,300,73,34,1033.7027,1,1,1
2023,3,47,2,300,73,12,903.1581,1,1,1
2023,3,30,2,300,73,12,721.0261,6,1,1
2023,3,28,1,300,73,34,750.1897,6,1,1
2023,3,25,2,300,73,34,639.7387,6,1,1
2023,3,22,1,300,73,10,1020.1077,6,1,1
2023,3,20,2,300,73,34,807.3553,6,1,1
2023,3,14,2,300,1,0,553.7872,9,1,0
2023,3,10,2,300,1,0,845.7814,9,1,0
2023,3,7,2,300,1,0,494.3821,9,1,0
2023,3,1,1,300,1,0,828.3539,9,1,0
2023,3,1,2,300,1,0,712.1523,9,1,0
2023,3,31,1,300,92,34,694.4126,1,1,2
2023,3,33,2,300,123,12,721.0261,1,1,1
2023,3,3,2,300,1,0,478.7547,9,1,0
2023,3,0,1,300,1,0,828.3539,9,1,0
2023,3,0,2,300,1,0,712.1523,9,1,0
2023,3,30,1,100,73,10,674.5127,1,1,1
2023,3,28,2,100,111,10,494.3648,1,1,1
2023,3,5,1,100,1,0,459.9087,9,1,0
2023,3,12,1,100,1,0,436.1884,9,1,0
2023,3,9,2,100,1,0,331.3252,9,1,0
2023,3,75,1,300,40,36,711.2236,4,1,1
2023,3,66,1,100,91,10,553.7757,2,1,1
2023,3,20,2,651,81,10,443.8433,6,1,1
2023,3,18,2,651,81,10,387.3838,6,1,1
2023,3,40,1,100,123,10,682.6444,1,1,1
2023,3,37,2,100,123,34,456.0691,1,1,1
2023,3,7,2,100,1,0,353.0451,9,1,0
2023,3,55,1,100,91,10,693.394,1,2,1
2023,3,55,2,100,81,34,767.633,1,2,1
2023,3,22,1,100,111,10,840.8699,6,2,1
2023,3,19,1,100,73,10,789.5131,6,2,1
2023,3,17,2,100,60,34,464.2286,6,2,1
2023,3,15,1,100,30,34,571.0205,6,2,1
2023,3,13,2,100,1,0,384.9036,9,2,0
2023,3,34,2,300,73,10,721.0261,1,2,1
2023,3,33,1,300,73,12,694.4126,1,2,1
2023,3,11,2,300,1,0,845.7814,9,2,0
2023,3,9,2,300,1,0,316.3071,9,2,0
2023,3,5,1,300,1,0,719.8121,9,2,0
2023,3,32,1,100,111,10,792.5087,6,2,1
2023,3,47,1,100,81,10,687.8875,1,1,1
2023,3,37,2,100,73,10,524.3843,1,1,1
2023,3,15,2,100,30,34,358.2938,6,1,1
2023,3,24,2,100,111,10,534.2974,6,3,2
2023,3,24,1,100,111,10,840.8699,6,3,1
2023,3,37,1,100,111,10,884.6805,1,2,1
2023,3,35,2,100,111,10,524.3843,1,2,1
2023,3,4,2,100,1,0,381.294,9,2,0
2023,3,3,1,100,1,0,566.5114,9,2,0
2023,3,15,1,100,71,32,571.0205,6,2,2
2023,3,66,2,100,81,32,606.1244,4,2,2
2023,3,43,1,651,50,10,677.1234,1,2,1
2023,3,63,2,651,73,34,829.7328,1,2,1
2023,3,69,1,100,91,10,541.9247,1,2,1
2023,3,66,2,100,81,34,606.1244,1,2,1
2023,3,20,2,100,73,21,627.7648,6,2,1
2023,3,17,2,100,60,10,545.4385,6,2,1
2023,3,22,1,100,73,10,987.9677,6,2,1
2023,3,32,2,100,81,10,515.0962,6,2,1
2023,3,7,1,100,1,0,473.1839,9,2,0
2023,3,46,1,100,123,10,585.4684,1,3,1
2023,3,47,2,300,92,10,883.8302,1,3,1
2023,3,66,1,100,123,10,541.9247,1,3,2
2023,3,66,2,100,73,10,606.1244,1,3,1
2023,3,22,2,802,81,10,790.0776,6,3,1
2023,3,9,1,100,1,0,633.9191,9,3,0
2023,3,9,1,100,1,0,633.9191,9,3,0
2023,3,62,1,100,111,12,628.2885,6,2,1
2023,3,37,2,300,60,34,669.0766,4,2,1
2023,3,42,1,802,125,10,750.2087,1,2,1
2023,3,44,2,100,92,34,399.6708,1,2,1
2023,3,14,2,802,1,0,581.7362,9,2,0
2023,3,13,2,802,1,0,585.9192,9,2,0
2023,3,9,2,802,1,0,332.2707,9,2,0
2023,3,61,1,100,91,36,628.2885,4,1,1
2023,3,59,1,652,81,10,731.593,1,2,1
2023,3,65,2,652,81,34,1109.9643,1,2,1
2023,3,72,2,100,81,36,552.33,1,1,1
2023,3,77,1,100,91,36,558.6955,1,1,2
2023,3,18,2,100,73,10,545.4385,6,2,1
2023,3,19,1,802,73,10,1329.3653,6,2,1
2023,3,40,2,100,81,10,455.268,1,3,1
2023,3,46,1,100,91,10,835.2444,1,3,1
2023,3,4,1,100,1,0,613.8254,9,3,0
2023,3,5,1,100,1,0,577.6517,9,3,0
2023,3,6,1,100,1,0,583.7723,9,3,0
2023,3,35,1,652,71,10,802.3131,1,1,1
2023,3,43,2,652,73,34,864.1455,1,1,1
2023,3,18,2,652,60,34,810.2059,6,1,1
2023,3,16,2,652,50,34,810.2059,6,1,1
