EMPSTATUS,SEX_F,EDUC_LEVEL,MARITAL,RESIDENCE,AGE_GROUP,MINORITY,DISABLED,WTFINL
Inactive,Male,Secondary,Married,Rural,41-64,0,No difficulty,1426.8115
Employed,Female,Higher,Married,Rural,41-64,0,No difficulty,1469.5834
Employed,Male,Secondary,Married,Rural,41-64,0,No difficulty,1702.9845
Employed,Female,Secondary,Married,Rural,41-64,0,No difficulty,1495.3036
Employed,Male,Secondary,Married,Rural,25-35,0,No difficulty,2033.8341
Employed,Female,Higher,Married,Rural,25-35,0,No difficulty,1918.0051
Employed,Female,Secondary,Married,Rural,41-64,0,No difficulty,1365.0491
Employed,Male,Secondary,Married,Rural,41-64,0,No difficulty,1312.6622
Employed,Male,Secondary,Single,Rural,41-64,0,No difficulty,1488.8953
Employed,Female,Higher,Married,Urban,36-40,0,No difficulty,1731.5618
Employed,Male,Secondary,Married,Urban,36-40,0,No difficulty,2001.0058
Inactive,Female,Higher,Married,Rural,41-64,0,No difficulty,1325.5737
Employed,Male,Higher,Married,Rural,41-64,0,No difficulty,1488.8953
Employed,Male,Secondary,Single,Rural,16-24,0,No difficulty,2234.6249
Employed,Female,Primary,Single,Rural,16-24,0,No difficulty,1801.0845
Inactive,Male,Secondary,Married,Rural,41-64,0,No difficulty,1426.8115
Inactive,Female,Secondary,Married,Rural,41-64,0,No difficulty,1270.5063
Employed,Male,Secondary,Single,Rural,16-24,0,No difficulty,2234.6249
Employed,Female,Secondary,Single,Rural,16-24,1,No difficulty,3065.293
Employed,Female,Secondary,Single,Rural,16-24,0,No difficulty,1801.0845
Inactive,Male,Secondary,Married,Urban,41-64,0,Disabled,1488.8953
Employed,Female,Secondary,Married,Urban,41-64,0,No difficulty,1325.5737
Employed,Male,Secondary,Single,Urban,25-35,0,No difficulty,2033.8341
Employed,Female,Secondary,Single,Rural,41-64,0,Disabled,1270.5063
Inactive,Male,Higher,Married,Urban,41-64,0,No difficulty,1312.6622
Inactive,Female,Secondary,Married,Urban,36-40,0,Disabled,1550.6173
Employed,Female,Higher,Single,Rural,41-64,0,No difficulty,1469.5834
Employed,Female,Higher,Single,Rural,41-64,0,No difficulty,1452.0615
Inactive,Female,Secondary,Single,Urban,41-64,0,No difficulty,1372.7463
